id,name_levenshtein_simple,name_trigram_simple,name_levenshtein_term,name_trigram_term,city_levenshtein_simple,city_trigram_simple,city_levenshtein_term,city_trigram_term,zip_levenshtein_simple,zip_trigram_simple,zip_levenshtein_term,zip_trigram_term,street_levenshtein_simple,street_trigram_simple,street_levenshtein_term,street_trigram_term,website_levenshtein_simple,website_trigram_simple,website_levenshtein_term,website_trigram_term,phone_levenshtein,phone_trigram,fax_levenshtein,fax_trigram,street_number_levenshtein,street_number_trigram,phone_equality,fax_equality,street_number_equality,is_match
3657#3668,0.2,0.0330688,0.25,0.027777800000000002,1,1,1,1,1,1,1,1,0.400974,0.264502,0.208333,0.219512,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
1418#1428,0.5,0.5,0.235294,0.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
1259#1269,0.555556,0.5,0.529412,0.333333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3679#3681,0.208333,0.0,0.166667,0.0,1,1,1,1,1,1,1,1,0.311111,0.222222,0.217391,0.125,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
1252#1270,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
778#783,0.4,0.4,0.296296,0.321429,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3628#3629,0.686869,0.666667,0.230769,0.361111,1,1,1,1,1,1,1,1,0.533209,0.403846,0.410714,0.410714,?,?,?,?,?,?,?,?,0.5,0.25,m,m,n,-1
1450#1453,0.535714,0.5,0.464286,0.454545,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
864#866,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
2388#2394,0.857143,0.857143,0.785714,0.785714,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
821#823,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
8349#8358,0.0,0.0,0.0,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
8800#8801,0.115816,0.0,0.235294,0.0,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
12551#12552,0.08333330000000001,0.0384615,0.07142860000000001,0.035714300000000004,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
2417#2430,1.0,1.0,1.0,1.0,0.666667,0.666667,0.5,0.545455,1,1,1,1,0.513131,0.412879,0.390244,0.387097,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
11946#11947,0.26222199999999996,0.0521053,0.2,0.0465116,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.333333333333,0.142857149243,m,m,n,-1
8699#8700,0.5158729999999999,0.363636,0.235294,0.333333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.428571428571,0.300000011921,m,m,n,-1
979#977,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
7120#7121,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
2430#2422,0.857143,0.857143,0.785714,0.8,1,1,1,1,1,1,1,1,0.727273,0.727273,0.634146,0.962963,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
6588#6590,0.613636,0.490196,0.2,0.35897399999999996,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
6014#6015,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
8260#8267,0.13203499999999999,0.011363600000000001,0.147059,0.0192308,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
2464#2467,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1730#1734,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1.0,1.0,?,?,1.0,1.0,s,m,s,1
134#140,0.5,0.5,0.4375,0.454545,0.666667,0.666667,0.454545,0.5,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
11418#11419,0.333571,0.061538499999999996,0.21739099999999997,0.0487805,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
9045#9046,0.461538,0.461538,0.355556,0.459459,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
464489#499675,0.196429,0.0153846,0.178571,0.0192308,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
11818#11819,0.25,0.25,0.0810811,0.11428599999999998,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
2661#2671,0.666667,0.666667,0.538462,0.571429,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1.0,1.0,?,?,1.0,1.0,s,m,s,1
9020#9022,0.666667,0.666667,0.3125,0.35483899999999996,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
9978#9979,0.555556,0.5,0.17647100000000002,0.333333,1,1,1,1,1,1,1,1,0.220833,0.025,0.238095,0.0243902,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
2823#2830,0.239394,0.039572199999999995,0.2,0.046875,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
2603#2617,0.333333,0.333333,0.0294118,0.0666667,1,1,1,1,0,0,0,0,0.857143,0.857143,0.842105,0.85,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
2191#2197,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
1114#1116,0.857143,0.857143,0.7,0.714286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,1
1928#1930,0.8,0.8,0.647059,0.666667,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
7428#7430,0.173611,0.0,0.166667,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
1865#1866,0.50839,0.320346,0.44444399999999995,0.314286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
9044#9049,0.606061,0.545455,0.515152,0.37837800000000005,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
3902#3903,1.0,1.0,1.0,1.0,1,1,1,1,0.8,0.333333,0.8,0.333333,0.958333,0.818182,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
4372#4373,0.857143,0.857143,0.592593,0.607143,?,?,?,?,?,?,?,?,?,?,?,?,0.599206,0.564103,0.641026,0.522727,1.0,1.0,?,?,0.4,0.222222223878,s,m,n,1
8761#8763,0.857143,0.857143,0.837838,0.8421049999999999,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1250#1273,0.5,0.5,0.727273,0.571429,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
800#801,0.670635,0.5767680000000001,0.5,0.428571,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.428571428571,0.166666671634,m,m,n,1
1316#1320,0.8,0.8,0.625,0.647059,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
5944#5947,0.857143,0.857143,0.76,0.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
2194#2215,0.571429,0.571429,0.344828,0.37931,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
